"Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","EmployeeFeedback"
"23","Travel_Rarely","420","Research & Development","5","1","Life Sciences","1001","2","Male","35","3","1","Software Engineer","1","Single","2800","3000","0","Yes","11","3","4","0","1","0","2","1","0","0","1","Needs better growth opportunities."
"24","Travel_Frequently","457","Sales","12","2","Medical","1002","3","Female","40","4","2","Data Analyst","2","Married","4235","3421","1","No","12","3","1","1","3","1","3","3","1","1","2","Satisfied with current team and role."
"25","Non-Travel","494","Human Resources","24","3","Marketing","1003","4","Male","45","1","3","Sales Executive","3","Divorced","6170","3842","2","No","13","4","2","2","5","2","4","5","2","2","3","Workload has been high recently."
"26","Travel_Rarely","531","Research & Development","8","4","Technical Degree","1004","1","Female","50","2","4","Research Scientist","4","Single","3605","4263","3","No","14","2","3","3","7","3","1","2","2","3","2","Interested in flexible work options."
"27","Travel_Frequently","568","Sales","31","5","Human Resources","1005","2","Male","55","3","5","Human Resources","2","Married","3040","4684","4","Yes","15","3","4","0","9","4","2","8","4","4","5","Compensation expectations should be reviewed."
"28","Non-Travel","605","Human Resources","16","1","Other","1006","3","Female","60","4","1","Manager","3","Divorced","7775","5105","5","No","16","4","1","1","11","5","3","10","5","0","6","Strong performer with retention potential."
"29","Travel_Rarely","642","Research & Development","22","2","Life Sciences","1007","4","Male","65","1","2","Quality Assurance Engineer","1","Single","5310","5526","6","No","17","3","2","2","13","0","4","4","0","1","0","Commute is becoming difficult."
"30","Travel_Frequently","679","Sales","4","3","Medical","1008","1","Female","70","2","3","Laboratory Technician","4","Married","3545","5947","0","Yes","18","3","3","3","15","1","1","6","1","2","1","Needs more recognition from management."
"31","Non-Travel","716","Human Resources","18","4","Marketing","1009","2","Male","75","3","4","Software Engineer","3","Divorced","7080","6368","1","Yes","19","2","4","0","17","2","2","7","2","3","2","Needs better growth opportunities."
"32","Travel_Rarely","753","Research & Development","27","5","Technical Degree","1010","3","Female","80","4","5","Data Analyst","2","Single","4815","6789","2","No","20","4","1","1","19","3","3","9","3","4","3","Satisfied with current team and role."
